Identifier	seqid	gene_id	strand	start	end	width	gc	isPresent	log2 Ratio	pValue	fdr	wt_1 [normalized count]	wt_2 [normalized count]	mut_1 [normalized count]	mut_2 [normalized count]	wt_1 [FPKM]	wt_2 [FPKM]	mut_1 [FPKM]	mut_2 [FPKM]
YHR042W	VIII	YHR042W	+	190543	192618	2076	0.4644	FALSE	-2.323	0.2404	NA	1.028	0	0	0	101.1	0	0	0
YHR064C	VIII	YHR064C	-	225525	227141	1617	0.4143	FALSE	-2.323	0.2404	NA	1.028	0	0	0	129.8	0	0	0
YHR074W	VIII	YHR074W	+	246193	248337	2145	0.4075	FALSE	-2.323	0.2404	NA	1.028	0	0	0	97.88	0	0	0
YHR085W	VIII	YHR085W	+	276764	277768	1005	0.3871	FALSE	-2.323	0.2404	NA	1.028	0	0	0	208.9	0	0	0
YHR089C	VIII	YHR089C	-	282681	283298	618	0.4709	FALSE	-2.323	0.2404	NA	1.028	0	0	0	339.7	0	0	0
YHR101C	VIII	YHR101C	-	314874; 315859	315771; 315968	1008	0.375	FALSE	-2.323	0.2404	NA	1.028	0	0	0	208.3	0	0	0
YHR107C	VIII	YHR107C	-	326813	328036	1224	0.415	FALSE	-2.323	0.2404	NA	1.028	0	0	0	171.5	0	0	0
YHR125W	VIII	YHR125W	+	358858	359163	306	0.3399	FALSE	-2.323	0.2404	NA	1.028	0	0	0	686.1	0	0	0
YHR129C	VIII	YHR129C	-	362999	364153	1155	0.4052	FALSE	-2.323	0.2404	NA	1.028	0	0	0	181.8	0	0	0
YHR137C-A	VIII	YHR137C-A	-	375738	376388	651	0.424	FALSE	-2.323	0.2404	NA	1.028	0	0	0	322.5	0	0	0
YHR144C	VIII	YHR144C	-	387788	388726	939	0.3823	FALSE	-2.323	0.2404	NA	1.028	0	0	0	223.6	0	0	0
YHR188C	VIII	YHR188C	-	482005	483837	1833	0.4392	FALSE	-2.323	0.2404	NA	1.028	0	0	0	114.5	0	0	0
YHR214C-E	VIII	YHR214C-E	-	551200	551499	300	0.3933	FALSE	-2.323	0.2404	NA	1.028	0	0	0	699.8	0	0	0
YHR217C	VIII	YHR217C	-	556581	557042	462	0.5195	FALSE	-2.323	0.2404	NA	1.028	0	0	0	454.4	0	0	0
YHR218W	VIII	YHR218W	+	558014; 558715	558615; 559924	1812	0.4547	FALSE	-2.323	0.2404	NA	1.028	0	0	0	115.9	0	0	0
YJL215C	X	YJL215C	-	26412	26771	360	0.4389	FALSE	-2.323	0.2404	NA	1.028	0	0	0	583.2	0	0	0
YJL212C	X	YJL212C	-	33850	36249	2400	0.4242	FALSE	-2.323	0.2404	NA	1.028	0	0	0	87.48	0	0	0
YJL208C	X	YJL208C	-	40194	41183	990	0.4	FALSE	-2.323	0.2404	NA	1.028	0	0	0	212.1	0	0	0
YJL185C	X	YJL185C	-	82095	82976	882	0.4229	FALSE	-2.323	0.2404	NA	1.028	0	0	0	238	0	0	0
YJL122W	X	YJL122W	+	189716	190243	528	0.4186	FALSE	-2.323	0.2404	NA	1.028	0	0	0	397.6	0	0	0
YJL070C	X	YJL070C	-	307971	310637	2667	0.3618	FALSE	-2.323	0.2404	NA	1.028	0	0	0	78.72	0	0	0
YJL064W	X	YJL064W	+	315175	315570	396	0.4646	FALSE	-2.323	0.2404	NA	1.028	0	0	0	530.2	0	0	0
YJL043W	X	YJL043W	+	360130	360903	774	0.5181	FALSE	-2.323	0.2404	NA	1.028	0	0	0	271.3	0	0	0
YJL030W	X	YJL030W	+	387657	388247	591	0.3909	FALSE	-2.323	0.2404	NA	1.028	0	0	0	355.2	0	0	0
tK(CUU)J	X	tK(CUU)J	+	414966	415038	73	0.5479	FALSE	-2.323	0.2404	NA	1.028	0	0	0	2876	0	0	0
YJR034W	X	YJR034W	+	496683	497009	327	0.4465	FALSE	-2.323	0.2404	NA	1.028	0	0	0	642.1	0	0	0
YJR052W	X	YJR052W	+	532062	533759	1698	0.3863	FALSE	-2.323	0.2404	NA	1.028	0	0	0	123.6	0	0	0
YJR067C	X	YJR067C	-	567019	567444	426	0.3944	FALSE	-2.323	0.2404	NA	1.028	0	0	0	492.8	0	0	0
YJR069C	X	YJR069C	-	568806	569399	594	0.4158	FALSE	-2.323	0.2404	NA	1.028	0	0	0	353.5	0	0	0
YJR132W	X	YJR132W	+	669522	672668	3147	0.3769	FALSE	-2.323	0.2404	NA	1.028	0	0	0	66.71	0	0	0
YJR133W	X	YJR133W	+	672991	673620	630	0.4079	FALSE	-2.323	0.2404	NA	1.028	0	0	0	333.3	0	0	0
YJR142W	X	YJR142W	+	697141	698169	1029	0.3771	FALSE	-2.323	0.2404	NA	1.028	0	0	0	204	0	0	0
YJR154W	X	YJR154W	+	725784	726824	1041	0.4102	FALSE	-2.323	0.2404	NA	1.028	0	0	0	201.7	0	0	0
YKL222C	XI	YKL222C	-	3503	5620	2118	0.3588	FALSE	-2.323	0.2404	NA	1.028	0	0	0	99.13	0	0	0
YKL218C	XI	YKL218C	-	17359	18339	981	0.4363	FALSE	-2.323	0.2404	NA	1.028	0	0	0	214	0	0	0
YKL211C	XI	YKL211C	-	36699	38153	1455	0.4323	FALSE	-2.323	0.2404	NA	1.028	0	0	0	144.3	0	0	0
YKL203C	XI	YKL203C	-	55935	63359	7425	0.3841	FALSE	-2.323	0.2404	NA	1.028	0	0	0	28.28	0	0	0
YKL163W	XI	YKL163W	+	144401	145378	978	0.4601	FALSE	-2.323	0.2404	NA	1.028	0	0	0	214.7	0	0	0
YKL150W	XI	YKL150W	+	166544	167452	909	0.4136	FALSE	-2.323	0.2404	NA	1.028	0	0	0	231	0	0	0
YKL138C-A	XI	YKL138C-A	-	184803	185012	210	0.3714	FALSE	-2.323	0.2404	NA	1.028	0	0	0	999.8	0	0	0
YKL135C	XI	YKL135C	-	186460	188640	2181	0.37	FALSE	-2.323	0.2404	NA	1.028	0	0	0	96.26	0	0	0
YKL125W	XI	YKL125W	+	208247	210130	1884	0.3785	FALSE	-2.323	0.2404	NA	1.028	0	0	0	111.4	0	0	0
YKL106C-A	XI	YKL106C-A	-	237147	237266	120	0.4417	FALSE	-2.323	0.2404	NA	1.028	0	0	0	1750	0	0	0
snR38	XI	snR38	+	283185	283279	95	0.2737	FALSE	-2.323	0.2404	NA	1.028	0	0	0	2210	0	0	0
YKL051W	XI	YKL051W	+	341312	342373	1062	0.4256	FALSE	-2.323	0.2404	NA	1.028	0	0	0	197.7	0	0	0
YKL049C	XI	YKL049C	-	346075	346764	690	0.3971	FALSE	-2.323	0.2404	NA	1.028	0	0	0	304.3	0	0	0
YKL039W	XI	YKL039W	+	362622	364193	1572	0.388	FALSE	-2.323	0.2404	NA	1.028	0	0	0	133.6	0	0	0
YKL018W	XI	YKL018W	+	404102	405091	990	0.3929	FALSE	-2.323	0.2404	NA	1.028	0	0	0	212.1	0	0	0
YKL016C	XI	YKL016C	-	407465	407989	525	0.4	FALSE	-2.323	0.2404	NA	1.028	0	0	0	399.9	0	0	0
YKL006C-A	XI	YKL006C-A	-	430198; 430597	430455; 430632	294	0.3707	FALSE	-2.323	0.2404	NA	1.028	0	0	0	714.1	0	0	0
YKR022C	XI	YKR022C	-	482171	483139	969	0.3798	FALSE	-2.323	0.2404	NA	1.028	0	0	0	216.7	0	0	0
YKR033C	XI	YKR033C	-	506879	507304	426	0.439	FALSE	-2.323	0.2404	NA	1.028	0	0	0	492.8	0	0	0
YKR035C	XI	YKR035C	-	507920	508561	642	0.4065	FALSE	-2.323	0.2404	NA	1.028	0	0	0	327	0	0	0
YKR042W	XI	YKR042W	+	519527	520624	1098	0.5046	FALSE	-2.323	0.2404	NA	1.028	0	0	0	191.2	0	0	0
YKR096W	XI	YKR096W	+	626793	630380	3588	0.3743	FALSE	-2.323	0.2404	NA	1.028	0	0	0	58.51	0	0	0
YKR099W	XI	YKR099W	+	635851	638286	2436	0.3994	FALSE	-2.323	0.2404	NA	1.028	0	0	0	86.19	0	0	0
YLL026W	XII	YLL026W	+	88623	91349	2727	0.4012	FALSE	-2.323	0.2404	NA	1.028	0	0	0	76.99	0	0	0
YLL020C	XII	YLL020C	-	105556	105861	306	0.3301	FALSE	-2.323	0.2404	NA	1.028	0	0	0	686.1	0	0	0
YLR035C	XII	YLR035C	-	212369	214456	2088	0.3841	FALSE	-2.323	0.2404	NA	1.028	0	0	0	100.6	0	0	0
YLR036C	XII	YLR036C	-	221521	222132	612	0.3399	FALSE	-2.323	0.2404	NA	1.028	0	0	0	343.1	0	0	0
YLR052W	XII	YLR052W	+	247201	247953	753	0.3944	FALSE	-2.323	0.2404	NA	1.028	0	0	0	278.8	0	0	0
YLR099C	XII	YLR099C	-	339744	340928	1185	0.465	FALSE	-2.323	0.2404	NA	1.028	0	0	0	177.2	0	0	0
YLR101C	XII	YLR101C	-	342566	342961	396	0.3813	FALSE	-2.323	0.2404	NA	1.028	0	0	0	530.2	0	0	0
YLR108C	XII	YLR108C	-	366667	368124	1458	0.3786	FALSE	-2.323	0.2404	NA	1.028	0	0	0	144	0	0	0
YLR117C	XII	YLR117C	-	382471	384534	2064	0.3735	FALSE	-2.323	0.2404	NA	1.028	0	0	0	101.7	0	0	0
YLR120C	XII	YLR120C	-	386511	388220	1710	0.4345	FALSE	-2.323	0.2404	NA	1.028	0	0	0	122.8	0	0	0
YLR137W	XII	YLR137W	+	417006	418109	1104	0.4692	FALSE	-2.323	0.2404	NA	1.028	0	0	0	190.2	0	0	0
YLR143W	XII	YLR143W	+	427329	429386	2058	0.3683	FALSE	-2.323	0.2404	NA	1.028	0	0	0	102	0	0	0
RDN37-2	XII	RDN37-2	-	460923; 464551; 465070	464318; 464708; 466869	5354	0.4684	FALSE	-2.323	0.2404	NA	1.028	0	0	0	39.21	0	0	0
RDN18-2	XII	RDN18-2	-	465070	466869	1800	0.4483	FALSE	-2.323	0.2404	NA	1.028	0	0	0	116.6	0	0	0
YLR171W	XII	YLR171W	+	500733	501122	390	0.3821	FALSE	-2.323	0.2404	NA	1.028	0	0	0	538.3	0	0	0
YLR174W	XII	YLR174W	+	504591	505829	1239	0.4181	FALSE	-2.323	0.2404	NA	1.028	0	0	0	169.5	0	0	0
YLR191W	XII	YLR191W	+	537272	538432	1161	0.4074	FALSE	-2.323	0.2404	NA	1.028	0	0	0	180.8	0	0	0
YLR192C	XII	YLR192C	-	538792	539589	798	0.4261	FALSE	-2.323	0.2404	NA	1.028	0	0	0	263.1	0	0	0
YLR194C	XII	YLR194C	-	540809	541573	765	0.4797	FALSE	-2.323	0.2404	NA	1.028	0	0	0	274.4	0	0	0
YLR218C	XII	YLR218C	-	573466	573918	453	0.4547	FALSE	-2.323	0.2404	NA	1.028	0	0	0	463.5	0	0	0
YLR250W	XII	YLR250W	+	640317	641021	705	0.3801	FALSE	-2.323	0.2404	NA	1.028	0	0	0	297.8	0	0	0
YLR280C	XII	YLR280C	-	704483	704833	351	0.584	FALSE	-2.323	0.2404	NA	1.028	0	0	0	598.2	0	0	0
YLR281C	XII	YLR281C	-	704493	704960	468	0.5577	FALSE	-2.323	0.2404	NA	1.028	0	0	0	448.6	0	0	0
YLR295C	XII	YLR295C	-	721999	722373	375	0.4187	FALSE	-2.323	0.2404	NA	1.028	0	0	0	559.9	0	0	0
YLR317W	XII	YLR317W	+	765655	766089	435	0.4276	FALSE	-2.323	0.2404	NA	1.028	0	0	0	482.6	0	0	0
YLR339C	XII	YLR339C	-	805784	806335	552	0.413	FALSE	-2.323	0.2404	NA	1.028	0	0	0	380.3	0	0	0
YLR344W	XII	YLR344W	+	819312; 819778	819330; 820142	384	0.4219	FALSE	-2.323	0.2404	NA	1.028	0	0	0	546.7	0	0	0
YLR370C	XII	YLR370C	-	861718	862254	537	0.4134	FALSE	-2.323	0.2404	NA	1.028	0	0	0	391	0	0	0
YLR377C	XII	YLR377C	-	873746	874792	1047	0.4403	FALSE	-2.323	0.2404	NA	1.028	0	0	0	200.5	0	0	0
YLR386W	XII	YLR386W	+	893628	896270	2643	0.3795	FALSE	-2.323	0.2404	NA	1.028	0	0	0	79.44	0	0	0
YLR387C	XII	YLR387C	-	896374	897672	1299	0.3888	FALSE	-2.323	0.2404	NA	1.028	0	0	0	161.6	0	0	0
YLR390W-A	XII	YLR390W-A	+	903724	904440	717	0.4826	FALSE	-2.323	0.2404	NA	1.028	0	0	0	292.8	0	0	0
YLR397C	XII	YLR397C	-	912550	914892	2343	0.4204	FALSE	-2.323	0.2404	NA	1.028	0	0	0	89.61	0	0	0
YLR404W	XII	YLR404W	+	928743	929600	858	0.366	FALSE	-2.323	0.2404	NA	1.028	0	0	0	244.7	0	0	0
YLR407W	XII	YLR407W	+	932967	933653	687	0.4265	FALSE	-2.323	0.2404	NA	1.028	0	0	0	305.6	0	0	0
YLR460C	XII	YLR460C	-	1059757	1060887	1131	0.4147	FALSE	-2.323	0.2404	NA	1.028	0	0	0	185.6	0	0	0
YML130C	XIII	YML130C	-	11483	13174	1692	0.3723	FALSE	-2.323	0.2404	NA	1.028	0	0	0	124.1	0	0	0
YML127W	XIII	YML127W	+	17064	18809	1746	0.4273	FALSE	-2.323	0.2404	NA	1.028	0	0	0	120.2	0	0	0
YML102W	XIII	YML102W	+	68294	69700	1407	0.4897	FALSE	-2.323	0.2404	NA	1.028	0	0	0	149.2	0	0	0
YML057W	XIII	YML057W	+	160180	161994	1815	0.4309	FALSE	-2.323	0.2404	NA	1.028	0	0	0	115.7	0	0	0
YML045W	XIII	YML045W	+	184461; 185767	185765; 189729	5268	0.3829	FALSE	-2.323	0.2404	NA	1.028	0	0	0	39.85	0	0	0
YML045W-A	XIII	YML045W-A	+	184461	185783	1323	0.4074	FALSE	-2.323	0.2404	NA	1.028	0	0	0	158.7	0	0	0
YML030W	XIII	YML030W	+	216435	216914	480	0.4479	FALSE	-2.323	0.2404	NA	1.028	0	0	0	437.4	0	0	0
YML021C	XIII	YML021C	-	229734	230813	1080	0.412	FALSE	-2.323	0.2404	NA	1.028	0	0	0	194.4	0	0	0
YML018C	XIII	YML018C	-	234771	235952	1182	0.4264	FALSE	-2.323	0.2404	NA	1.028	0	0	0	177.6	0	0	0
YML009W-B	XIII	YML009W-B	+	250435	250911	477	0.5346	FALSE	-2.323	0.2404	NA	1.028	0	0	0	440.2	0	0	0
YML001W	XIII	YML001W	+	267174	267800	627	0.3844	FALSE	-2.323	0.2404	NA	1.028	0	0	0	334.9	0	0	0
YMR023C	XIII	YMR023C	-	319437	321017	1581	0.3801	FALSE	-2.323	0.2404	NA	1.028	0	0	0	132.8	0	0	0
YMR049C	XIII	YMR049C	-	368094	370517	2424	0.3911	FALSE	-2.323	0.2404	NA	1.028	0	0	0	86.61	0	0	0
YMR053C	XIII	YMR053C	-	380346	382898	2553	0.3811	FALSE	-2.323	0.2404	NA	1.028	0	0	0	82.24	0	0	0
YMR073C	XIII	YMR073C	-	412268	412873	606	0.3911	FALSE	-2.323	0.2404	NA	1.028	0	0	0	346.5	0	0	0
YMR086C-A	XIII	YMR086C-A	-	442026	442364	339	0.3363	FALSE	-2.323	0.2404	NA	1.028	0	0	0	619.3	0	0	0
YMR088C	XIII	YMR088C	-	443414	445102	1689	0.3866	FALSE	-2.323	0.2404	NA	1.028	0	0	0	124.3	0	0	0
YMR106C	XIII	YMR106C	-	478301	480190	1890	0.3952	FALSE	-2.323	0.2404	NA	1.028	0	0	0	111.1	0	0	0
YMR119W	XIII	YMR119W	+	505333	507207	1875	0.3621	FALSE	-2.323	0.2404	NA	1.028	0	0	0	112	0	0	0
YMR151W	XIII	YMR151W	+	562506	562943	438	0.3493	FALSE	-2.323	0.2404	NA	1.028	0	0	0	479.3	0	0	0
YMR167W	XIII	YMR167W	+	594886	597195	2310	0.3775	FALSE	-2.323	0.2404	NA	1.028	0	0	0	90.89	0	0	0
YMR171C	XIII	YMR171C	-	603868	605520	1653	0.392	FALSE	-2.323	0.2404	NA	1.028	0	0	0	127	0	0	0
YMR194W	XIII	YMR194W	+	651145; 651624	651160; 651910	303	0.4191	FALSE	-2.323	0.2404	NA	1.028	0	0	0	692.9	0	0	0
YMR216C	XIII	YMR216C	-	698811	701039	2229	0.4087	FALSE	-2.323	0.2404	NA	1.028	0	0	0	94.19	0	0	0
YMR237W	XIII	YMR237W	+	743749	745923	2175	0.3885	FALSE	-2.323	0.2404	NA	1.028	0	0	0	96.53	0	0	0
YMR246W	XIII	YMR246W	+	759807	761891	2085	0.4302	FALSE	-2.323	0.2404	NA	1.028	0	0	0	100.7	0	0	0
YMR276W	XIII	YMR276W	+	818827	819948	1122	0.5143	FALSE	-2.323	0.2404	NA	1.028	0	0	0	187.1	0	0	0
YMR294W-A	XIII	YMR294W-A	+	858209	858568	360	0.425	FALSE	-2.323	0.2404	NA	1.028	0	0	0	583.2	0	0	0
YMR312W	XIII	YMR312W	+	898405	899226	822	0.3954	FALSE	-2.323	0.2404	NA	1.028	0	0	0	255.4	0	0	0
YMR318C	XIII	YMR318C	-	911061	912143	1083	0.4257	FALSE	-2.323	0.2404	NA	1.028	0	0	0	193.9	0	0	0
YMR322C	XIII	YMR322C	-	918366	919079	714	0.43	FALSE	-2.323	0.2404	NA	1.028	0	0	0	294.1	0	0	0
YNL330C	XIV	YNL330C	-	18001	19302	1302	0.4094	FALSE	-2.323	0.2404	NA	1.028	0	0	0	161.3	0	0	0
YNL302C	XIV	YNL302C	-	61958; 62924	62372; 62943	435	0.4368	FALSE	-2.323	0.2404	NA	1.028	0	0	0	482.6	0	0	0
YNL283C	XIV	YNL283C	-	105184	106695	1512	0.4616	FALSE	-2.323	0.2404	NA	1.028	0	0	0	138.9	0	0	0
YNL282W	XIV	YNL282W	+	107687	108274	588	0.4592	FALSE	-2.323	0.2404	NA	1.028	0	0	0	357.1	0	0	0
YNL277W-A	XIV	YNL277W-A	+	116679	116867	189	0.3651	FALSE	-2.323	0.2404	NA	1.028	0	0	0	1111	0	0	0
YNL272C	XIV	YNL272C	-	126805	129084	2280	0.3864	FALSE	-2.323	0.2404	NA	1.028	0	0	0	92.08	0	0	0
YNL258C	XIV	YNL258C	-	158109	160373	2265	0.3576	FALSE	-2.323	0.2404	NA	1.028	0	0	0	92.69	0	0	0
YNL253W	XIV	YNL253W	+	170018	171286	1269	0.3625	FALSE	-2.323	0.2404	NA	1.028	0	0	0	165.4	0	0	0
YNL228W	XIV	YNL228W	+	220645	221421	777	0.3822	FALSE	-2.323	0.2404	NA	1.028	0	0	0	270.2	0	0	0
YNL217W	XIV	YNL217W	+	240331	241311	981	0.4047	FALSE	-2.323	0.2404	NA	1.028	0	0	0	214	0	0	0
YNL216W	XIV	YNL216W	+	241689	244172	2484	0.4151	FALSE	-2.323	0.2404	NA	1.028	0	0	0	84.52	0	0	0
YNL206C	XIV	YNL206C	-	256788	258155	1368	0.386	FALSE	-2.323	0.2404	NA	1.028	0	0	0	153.5	0	0	0
YNL204C	XIV	YNL204C	-	258375	259277	903	0.3909	FALSE	-2.323	0.2404	NA	1.028	0	0	0	232.5	0	0	0
YNL197C	XIV	YNL197C	-	267608	269593	1986	0.4094	FALSE	-2.323	0.2404	NA	1.028	0	0	0	105.7	0	0	0
YNL174W	XIV	YNL174W	+	308074	308646	573	0.3839	FALSE	-2.323	0.2404	NA	1.028	0	0	0	366.4	0	0	0
YNL164C	XIV	YNL164C	-	325265	326320	1056	0.3987	FALSE	-2.323	0.2404	NA	1.028	0	0	0	198.8	0	0	0
YNL160W	XIV	YNL160W	+	336545	337609	1065	0.4272	FALSE	-2.323	0.2404	NA	1.028	0	0	0	197.1	0	0	0
tF(GAA)N	XIV	tF(GAA)N	+	374869; 374924	374905; 374959	73	0.5616	FALSE	-2.323	0.2404	NA	1.028	0	0	0	2876	0	0	0
YNL109W	XIV	YNL109W	+	418964	419509	546	0.381	FALSE	-2.323	0.2404	NA	1.028	0	0	0	384.5	0	0	0
YNL101W	XIV	YNL101W	+	434999	437140	2142	0.3814	FALSE	-2.323	0.2404	NA	1.028	0	0	0	98.02	0	0	0
YNL084C	XIV	YNL084C	-	470053	471102	1050	0.3505	FALSE	-2.323	0.2404	NA	1.028	0	0	0	200	0	0	0
YNL055C	XIV	YNL055C	-	517994	518845	852	0.4531	FALSE	-2.323	0.2404	NA	1.028	0	0	0	246.4	0	0	0
YNL052W	XIV	YNL052W	+	531725	532186	462	0.4502	FALSE	-2.323	0.2404	NA	1.028	0	0	0	454.4	0	0	0
YNL039W	XIV	YNL039W	+	555048	556832	1785	0.3944	FALSE	-2.323	0.2404	NA	1.028	0	0	0	117.6	0	0	0
YNR004W	XIV	YNR004W	+	635943	636383	441	0.3469	FALSE	-2.323	0.2404	NA	1.028	0	0	0	476.1	0	0	0
YNR008W	XIV	YNR008W	+	640396	642381	1986	0.4225	FALSE	-2.323	0.2404	NA	1.028	0	0	0	105.7	0	0	0
YNR014W	XIV	YNR014W	+	652465	653103	639	0.5383	FALSE	-2.323	0.2404	NA	1.028	0	0	0	328.6	0	0	0
YNR025C	XIV	YNR025C	-	672702	673061	360	0.35	FALSE	-2.323	0.2404	NA	1.028	0	0	0	583.2	0	0	0
YNR063W	XIV	YNR063W	+	746943	748766	1824	0.3706	FALSE	-2.323	0.2404	NA	1.028	0	0	0	115.1	0	0	0
YNR071C	XIV	YNR071C	-	770440	771468	1029	0.4179	FALSE	-2.323	0.2404	NA	1.028	0	0	0	204	0	0	0
YOL160W	XV	YOL160W	+	14313	14654	342	0.3421	FALSE	-2.323	0.2404	NA	1.028	0	0	0	613.9	0	0	0
YOL124C	XV	YOL124C	-	85456	86757	1302	0.3917	FALSE	-2.323	0.2404	NA	1.028	0	0	0	161.3	0	0	0
YOL093W	XV	YOL093W	+	142815	143696	882	0.4286	FALSE	-2.323	0.2404	NA	1.028	0	0	0	238	0	0	0
YOL084W	XV	YOL084W	+	162356	165331	2976	0.4412	FALSE	-2.323	0.2404	NA	1.028	0	0	0	70.55	0	0	0
YOL077C	XV	YOL077C	-	185848	186723	876	0.371	FALSE	-2.323	0.2404	NA	1.028	0	0	0	239.7	0	0	0
YOL075C	XV	YOL075C	-	189658	193542	3885	0.382	FALSE	-2.323	0.2404	NA	1.028	0	0	0	54.04	0	0	0
YOL058W	XV	YOL058W	+	219211	220473	1263	0.4402	FALSE	-2.323	0.2404	NA	1.028	0	0	0	166.2	0	0	0
snR81	XV	snR81	+	234346	234546	201	0.4776	FALSE	-2.323	0.2404	NA	1.028	0	0	0	1045	0	0	0
YOL040C	XV	YOL040C	-	253149	253577	429	0.4476	FALSE	-2.323	0.2404	NA	1.028	0	0	0	489.4	0	0	0
YOL039W	XV	YOL039W	+	254297	254617	321	0.4704	FALSE	-2.323	0.2404	NA	1.028	0	0	0	654.1	0	0	0
tG(GCC)O2	XV	tG(GCC)O2	+	282164	282234	71	0.5775	FALSE	-2.323	0.2404	NA	1.028	0	0	0	2957	0	0	0
YOL011W	XV	YOL011W	+	305349	307409	2061	0.4124	FALSE	-2.323	0.2404	NA	1.028	0	0	0	101.9	0	0	0
YOL010W	XV	YOL010W	+	307938	309041	1104	0.4022	FALSE	-2.323	0.2404	NA	1.028	0	0	0	190.2	0	0	0
YOL001W	XV	YOL001W	+	325249	326130	882	0.3707	FALSE	-2.323	0.2404	NA	1.028	0	0	0	238	0	0	0
YOR002W	XV	YOR002W	+	329417	331051	1635	0.3896	FALSE	-2.323	0.2404	NA	1.028	0	0	0	128.4	0	0	0
YOR005C	XV	YOR005C	-	334509	337343	2835	0.375	FALSE	-2.323	0.2404	NA	1.028	0	0	0	74.06	0	0	0
YOR041C	XV	YOR041C	-	408358	408789	432	0.419	FALSE	-2.323	0.2404	NA	1.028	0	0	0	486	0	0	0
YOR045W	XV	YOR045W	+	413852	414037	186	0.4731	FALSE	-2.323	0.2404	NA	1.028	0	0	0	1129	0	0	0
YOR048C	XV	YOR048C	-	418630	421650	3021	0.3982	FALSE	-2.323	0.2404	NA	1.028	0	0	0	69.5	0	0	0
YOR078W	XV	YOR078W	+	472725	473369	645	0.3907	FALSE	-2.323	0.2404	NA	1.028	0	0	0	325.5	0	0	0
YOR102W	XV	YOR102W	+	516423	516773	351	0.3476	FALSE	-2.323	0.2404	NA	1.028	0	0	0	598.2	0	0	0
YOR119C	XV	YOR119C	-	548792	550246	1455	0.3663	FALSE	-2.323	0.2404	NA	1.028	0	0	0	144.3	0	0	0
YOR152C	XV	YOR152C	-	617518	618288	771	0.3567	FALSE	-2.323	0.2404	NA	1.028	0	0	0	272.3	0	0	0
YOR196C	XV	YOR196C	-	715593	716837	1245	0.4112	FALSE	-2.323	0.2404	NA	1.028	0	0	0	168.6	0	0	0
YOR203W	XV	YOR203W	+	722565	722918	354	0.3588	FALSE	-2.323	0.2404	NA	1.028	0	0	0	593.1	0	0	0
YOR208W	XV	YOR208W	+	733925	736177	2253	0.3502	FALSE	-2.323	0.2404	NA	1.028	0	0	0	93.19	0	0	0
YOR229W	XV	YOR229W	+	768409	769812	1404	0.458	FALSE	-2.323	0.2404	NA	1.028	0	0	0	149.5	0	0	0
YOR233W	XV	YOR233W	+	775846	778248	2403	0.4099	FALSE	-2.323	0.2404	NA	1.028	0	0	0	87.37	0	0	0
YOR270C	XV	YOR270C	-	828052	830574	2523	0.3872	FALSE	-2.323	0.2404	NA	1.028	0	0	0	83.22	0	0	0
YOR299W	XV	YOR299W	+	878435	880675	2241	0.411	FALSE	-2.323	0.2404	NA	1.028	0	0	0	93.69	0	0	0
YOR311C	XV	YOR311C	-	899056	899928	873	0.3895	FALSE	-2.323	0.2404	NA	1.028	0	0	0	240.5	0	0	0
YOR315W	XV	YOR315W	+	904760	905800	1041	0.3852	FALSE	-2.323	0.2404	NA	1.028	0	0	0	201.7	0	0	0
YOR322C	XV	YOR322C	-	918606	921062	2457	0.4172	FALSE	-2.323	0.2404	NA	1.028	0	0	0	85.45	0	0	0
YOR328W	XV	YOR328W	+	931803	936497	4695	0.4109	FALSE	-2.323	0.2404	NA	1.028	0	0	0	44.72	0	0	0
YOR335W-A	XV	YOR335W-A	+	946568	946648	81	0.3457	FALSE	-2.323	0.2404	NA	1.028	0	0	0	2592	0	0	0
YOR372C	XV	YOR372C	-	1034807	1036471	1665	0.388	FALSE	-2.323	0.2404	NA	1.028	0	0	0	126.1	0	0	0
YOR376W	XV	YOR376W	+	1043191	1043559	369	0.439	FALSE	-2.323	0.2404	NA	1.028	0	0	0	569	0	0	0
YOR385W	XV	YOR385W	+	1065043	1065915	873	0.3654	FALSE	-2.323	0.2404	NA	1.028	0	0	0	240.5	0	0	0
YOR391C	XV	YOR391C	-	1078545	1079258	714	0.4314	FALSE	-2.323	0.2404	NA	1.028	0	0	0	294.1	0	0	0
YOR396C-A	XV	YOR396C-A	-	1090015	1090497	483	0.4555	FALSE	-2.323	0.2404	NA	1.028	0	0	0	434.7	0	0	0
YPL280W	XVI	YPL280W	+	11887	12600	714	0.43	FALSE	-2.323	0.2404	NA	1.028	0	0	0	294.1	0	0	0
YPL277C	XVI	YPL277C	-	15405	16868	1464	0.4392	FALSE	-2.323	0.2404	NA	1.028	0	0	0	143.4	0	0	0
YPL274W	XVI	YPL274W	+	22938	24701	1764	0.4212	FALSE	-2.323	0.2404	NA	1.028	0	0	0	119	0	0	0
YPL256C	XVI	YPL256C	-	64977	66614	1638	0.3956	FALSE	-2.323	0.2404	NA	1.028	0	0	0	128.2	0	0	0
YPL230W	XVI	YPL230W	+	115312	116487	1176	0.4167	FALSE	-2.323	0.2404	NA	1.028	0	0	0	178.5	0	0	0
YPL228W	XVI	YPL228W	+	118382	120031	1650	0.3685	FALSE	-2.323	0.2404	NA	1.028	0	0	0	127.2	0	0	0
YPL212C	XVI	YPL212C	-	151515	153149	1635	0.3994	FALSE	-2.323	0.2404	NA	1.028	0	0	0	128.4	0	0	0
